gpubox_number	rec_chan_number	chan_start_hz	chan_centre_hz	chan_end_hz
133	133	169600000	170240000	170880000
134	134	170880000	171520000	172160000
135	135	172160000	172800000	173440000
136	136	173440000	174080000	174720000
137	137	174720000	175360000	176000000
138	138	176000000	176640000	177280000
139	139	177280000	177920000	178560000
140	140	178560000	179200000	179840000
141	141	179840000	180480000	181120000
142	142	181120000	181760000	182400000
143	143	182400000	183040000	183680000
144	144	183680000	184320000	184960000
145	145	184960000	185600000	186240000
146	146	186240000	186880000	187520000
147	147	187520000	188160000	188800000
148	148	188800000	189440000	190080000
149	149	190080000	190720000	191360000
150	150	191360000	192000000	192640000
151	151	192640000	193280000	193920000
152	152	193920000	194560000	195200000
153	153	195200000	195840000	196480000
154	154	196480000	197120000	197760000
155	155	197760000	198400000	199040000
156	156	199040000	199680000	200320000
